species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Canis lupus,59.527441,10.733299,1,6.137500286102295,15.5,-2.6000001430511475,807.0,98.0,41.0,25.486427307128903,271.0,148.0,214.0,166.0,7.59166669845581,27.506038665771484,734.9494018554688,21.200000762939453,-6.400000095367432,27.600000381469727,6.316666603088379,0.7499998807907104,71.0
Canis lupus,61.26641,8.996005,1,-0.2000000178813934,9.483333587646484,-8.666666984558105,716.0,84.0,32.0,30.266515731811523,242.0,111.0,242.0,139.0,8.016666412353516,28.529062271118164,744.1774291992188,15.399999618530272,-12.699999809265137,28.099998474121094,9.483333587646484,-5.650000095367432,1018.0
Canis lupus,59.748801,11.021277,1,5.2791666984558105,14.68333339691162,-3.366666793823242,827.0,100.0,40.0,27.15438461303711,276.0,142.0,236.0,161.0,7.408333301544189,26.939393997192383,734.0437622070312,20.5,-7.0,27.5,5.399999618530273,-0.1499999761581421,177.0
Canis lupus,59.622759,10.848081,1,5.762499809265137,15.216666221618652,-3.116666793823242,803.0,97.0,39.0,26.32742118835449,268.0,142.0,222.0,161.0,7.708333492279053,27.72781753540039,745.2489624023438,21.0,-6.800000190734863,27.799999237060547,5.916666507720947,0.3499999642372131,107.0
Canis lupus,23.061211,113.164517,1,22.42916679382324,28.733333587646484,14.766666412353516,1678.0,276.0,34.0,65.78887176513672,767.0,116.0,719.0,140.0,7.491666793823242,32.43145751953125,578.01171875,32.900001525878906,9.800000190734863,23.10000228881836,27.75,16.41666603088379,2.0
Canis lupus,36.045397,50.555953,1,14.429166793823242,26.100000381469727,2.366666793823242,317.0,53.0,4.0,64.2468490600586,132.0,12.0,15.0,124.0,12.225000381469728,31.67098617553711,959.7785034179688,35.099998474121094,-3.5,38.59999847412109,3.7166666984558105,25.483333587646484,1323.0
Canis lupus,36.045589,50.55577,1,14.429166793823242,26.100000381469727,2.366666793823242,317.0,53.0,4.0,64.2468490600586,132.0,12.0,15.0,124.0,12.225000381469728,31.67098617553711,959.7785034179688,35.099998474121094,-3.5,38.59999847412109,3.7166666984558105,25.483333587646484,1323.0
Canis lupus,23.849163,120.929742,1,19.4375,23.31666755676269,14.633333206176758,2464.0,477.0,27.0,81.49382781982422,1291.0,109.0,1291.0,168.0,5.925000190734863,37.2641487121582,357.7272033691406,26.700000762939453,10.800000190734863,15.90000057220459,23.31666755676269,15.833333969116213,790.0
Canis lupus,37.234345,49.646031,1,15.612500190734863,24.233333587646484,7.016666412353516,1208.0,200.0,31.0,57.38786315917969,537.0,110.0,125.0,385.0,8.841666221618652,31.80455780029297,713.6402587890625,29.799999237060547,2.0,27.799999237060547,12.733333587646484,22.200000762939453,11.0
Canis lupus,31.780695,35.20766,1,16.212499618530273,22.66666603088379,8.733333587646484,448.0,108.0,0.0,108.8817367553711,282.0,0.0,0.0,282.0,9.008333206176758,38.17090606689453,582.206298828125,28.299999237060547,4.699999809265137,23.599998474121094,8.733333587646484,22.5,788.0
Canis lupus,55.929064,37.722198,1,4.8125,16.78333282470703,-7.233333110809326,659.0,86.0,28.0,33.927398681640625,241.0,95.0,241.0,127.0,7.525000095367432,22.39583396911621,981.017822265625,22.600000381469727,-11.0,33.599998474121094,16.78333282470703,-1.5999999046325684,166.0
Canis lupus,17.118085,-61.843892,1,26.924999237060547,28.11666679382324,25.549999237060547,1121.0,149.0,42.0,35.96938705444336,400.0,148.0,367.0,168.0,6.133333683013916,67.39928436279297,108.28204345703124,31.299999237060547,22.200000762939453,9.099998474121094,27.983333587646484,25.88333320617676,7.0
Canis lupus,44.942803,-110.404064,1,2.712500095367432,13.75,-8.800000190734863,539.0,60.0,34.0,16.675739288330078,163.0,118.0,147.0,131.0,16.741666793823242,39.67219543457031,917.2813720703124,25.700000762939453,-16.5,42.20000076293945,11.083333015441896,-2.933333396911621,2002.0
Canis lupus,28.20203,-105.55361,1,19.1875,26.16666603088379,11.516666412353516,324.0,76.0,4.0,99.52344512939452,213.0,17.0,179.0,23.0,17.20833396911621,50.46432113647461,600.2315063476562,35.29999923706055,1.2000000476837158,34.099998474121094,24.88333320617676,16.383333206176758,1176.0
Canis lupus,28.295258,-105.491063,1,18.774999618530277,26.149999618530277,10.833333969116213,319.0,75.0,3.0,98.5901336669922,208.0,16.0,177.0,23.0,17.483333587646484,50.23946380615234,626.851806640625,35.20000076293945,0.4000000059604645,34.79999923706055,25.01666641235352,15.600000381469728,1141.0
Canis lupus,-6.423738,-76.52295,1,24.41666603088379,25.0,23.933334350585938,1477.0,182.0,88.0,23.747217178344727,451.0,268.0,382.0,268.0,11.783332824707031,86.64215087890625,43.969688415527344,31.100000381469727,17.5,13.600000381469728,24.233333587646484,23.933334350585938,801.0
